"date","raisin","simone","gagne","std"
2018-08-12,19.75,10.875,10.625,NA
2018-08-19,20.1875,11.125,10.75,20.9875
2018-08-22,20.25,11.25,10.8125,20.975
2018-08-24,19.8125,11.25,11.0625,20.975
2018-08-27,19.375,10.5,10.375,20.975
2018-08-28,NA,NA,NA,NA
2018-08-29,19.375,11,11.0625,20.975
2018-08-30,NA,NA,NA,NA
2018-08-31,19.5625,11,10.75,20.975
2018-09-01,NA,NA,NA,NA
2018-09-02,19.625,10.8125,10.625,20.975
2018-09-03,19.5,10.9375,10.8125,20.975
2018-09-04,19.5625,11,10.9375,20.975
2018-09-05,19.5,11.125,11,20.975
2018-09-06,19.4375,11,10.6875,20.975
2018-09-07,19.375,11.0625,11.125,20.975
2018-09-08,19.4375,11.25,10.9375,20.975
2018-09-09,19.5,11.125,10.8125,20.975
2018-09-10,19.4375,11.125,10.8125,20.975
2018-09-11,19.5,10.9375,11,20.975
2018-09-12,19.5,11.0625,11,20.975
2018-09-13,19.4375,11.1875,11,20.975
2018-09-14,19.625,11.0625,11.0625,20.975
2018-09-15,19.5,NA,NA,20.975
2018-09-16,19.5625,11,11.0625,20.975
2018-10-01,19,10.25,10.25,NA
2018-10-02,19.375,11,10.75,20.975
2018-10-03,19,10.625,10.1875,20.975
2018-10-04,18.9375,10.5625,10.25,20.975
2018-10-09,19.625,10.625,10.6875,20.975
2018-10-10,19.125,10.6875,10.6875,20.975
2018-10-11,19.125,10.6875,10.5625,20.975
2018-10-12,19.0625,10.625,10.6875,20.975
2018-10-13,19.3125,10.5625,10.6875,20.975
2018-10-14,19.0625,10.5625,10.6875,20.975
2018-10-15,19.25,NA,NA,NA
2018-10-16,18.8125,10.6875,10.6875,20.975
2018-10-17,18.9375,10.8125,10.8125,20.975
2018-10-18,18.875,10.75,10.8125,20.975
2018-10-22,18.625,10.25,10.3125,NA
2018-10-23,18.5,10.5,10.5,20.975
2018-10-24,18.4375,10.75,10.5625,20.975
2018-10-25,18.4375,10.5,10.5625,NA
2018-10-26,18.5,10.5,10.6875,NA
2018-10-27,18.625,10.5625,10.75,NA
2018-10-28,18.375,10.5625,10.75,NA
2018-10-29,18.5625,10.5,10.625,NA
2018-10-30,18.5,10.5625,10.625,NA
2018-10-31,18.4375,10.625,10.75,20.975
2018-11-01,18.4375,10.5,10.6875,NA
2018-11-02,18.375,10.375,10.5625,NA
2018-11-04,18.6875,10.6875,10.8125,NA
2018-11-05,18.4375,10.5,10.6875,NA
2018-11-06,18.4375,10.5,10.75,20.975
2018-11-18,19.4375,NA,NA,NA
2018-11-19,19,10.4375,10.875,NA
2018-11-20,18.5625,10.4375,10.5625,NA
2018-11-21,18.4375,10.5,10.6875,NA
2018-11-22,18.5,10.3125,10.6875,NA
2018-11-23,18.4375,10.25,10.5,NA
2018-11-29,18.3125,10.5,10.625,NA
2018-12-01,18.25,10.375,10.4375,NA
2018-12-04,18.4375,10.375,10.625,NA
2018-12-05,18.25,10.4375,10.75,NA
2018-12-06,18.1875,10.5,10.6875,NA
2018-12-08,18.25,10.6875,10.875,NA
2018-12-09,18.1875,10.5,10.8125,NA
2018-12-10,18.125,NA,NA,NA
2018-12-11,18.25,10.625,10.875,NA
2018-12-17,17.9375,10.125,10.375,NA
2018-12-18,17.875,10.125,10.6875,NA
2019-01-08,17.9375,10,10.3125,NA
2019-01-10,17.8125,10.125,10.375,NA
2019-01-14,17.875,9.9375,10.3125,NA
2019-01-17,17.8125,10.375,10.375,20.9625
2019-01-19,17.75,10.125,10.375,NA
NA,17.8125,10.4375,10.5625,NA
2019-01-26,18,10.625,10.5625,NA
2019-01-27,18.0625,10.625,10.625,NA
2019-01-28,17.9375,10.5,10.375,NA
2019-02-04,18.0625,10.625,10.8125,NA
2019-02-06,18.0625,10.875,10.875,NA
2019-02-08,18,10.5625,10.6875,NA
2019-02-10,17.9375,10.625,10.6875,NA
2019-02-13,18.0625,10.625,10.8125,NA
2019-02-15,17.875,NA,NA,NA
2019-02-26,17.8125,10.375,10.4375,NA
2019-02-28,17.625,10.25,10.3125,NA
2019-03-03,17.4375,10.3125,10.1875,NA
2019-03-05,17.5625,10.4375,10.5,NA
2019-03-19,18.0625,9.9375,9.875,NA
2019-03-21,18.0625,10.125,10.0625,NA
2019-03-23,17.9375,10.0625,10.0625,NA
2019-03-25,17.9375,10.0625,10.0625,NA
2019-03-31,17.8125,10.4375,10.375,NA
2019-04-05,17.8125,10.25,10.4375,NA
2019-04-07,17.875,10.25,10.4375,NA
2019-04-09,17.9375,10.375,10.4375,NA
2019-04-11,17.9375,10.375,10.375,NA
2019-04-15,17.625,9.9375,9.9375,NA
2019-04-21,17.625,10.3125,10.125,NA
2019-04-24,17.6875,10.375,10.1875,NA
2019-04-30,17.5625,10.0625,9.8125,NA
2019-05-03,17.5,10.3125,10.0625,NA
2019-05-06,17.5625,10.0625,10.0625,NA
2019-05-10,17.25,10.1875,10.125,NA
2019-05-17,17.5,10.25,10.0625,NA
2019-05-31,17.25,9.875,9.5,NA
2019-06-08,18.0625,10.4375,9.875,NA
2019-06-12,17.6875,10.3125,9.5625,NA
2019-06-15,17.75,10.25,9.5,NA
2019-06-21,18.25,10.5625,9.5625,NA
2019-07-03,18,10,9.3125,NA
2019-07-08,18.0625,10.6875,9.375,NA
2019-07-16,18.375,10.4375,8.9375,NA
2019-07-19,18.125,10.375,9,NA
2019-07-23,18.1875,10.25,8.75,NA
2019-07-26,18.1875,10.25,9,NA
2019-07-30,18.125,10.25,8.75,NA
2019-08-04,18.1875,10.375,8.6875,NA
2019-08-06,18.1875,10.4375,8.8125,NA
2019-08-10,17.9375,10.1875,8.75,NA
2019-08-14,7.9375,10.4375,8.875,NA
2019-08-18,18,10.25,8.6875,NA
2019-08-22,17.875,10.375,8.5625,NA
2019-08-25,17.9375,10.3125,8.375,NA
2019-08-28,17.8125,10.3125,8.125,NA
2019-09-03,17.875,9.875,NA,NA
2019-09-06,17.4375,10.125,8,NA
2019-09-22,17.875,9.9375,NA,NA
2019-09-25,17.625,10.1875,NA,NA
2019-10-02,17.5625,10.25,NA,NA
2019-10-07,17.5,10.0625,NA,NA
2019-10-11,17.375,10.25,NA,NA
2019-10-15,17.5625,10.3125,NA,NA
2019-10-19,17.6875,10.1875,NA,NA
2019-10-22,17.6875,10.3125,NA,NA
2019-11-04,17.125,9.125,NA,NA
2019-11-06,17.375,9.625,NA,NA
2019-11-10,17.5625,10,NA,NA
2019-11-17,17.3125,9.75,NA,NA
2019-11-24,17.625,9.875,NA,NA
2019-11-30,17.375,9.75,NA,NA
2019-12-07,17.5,9.875,NA,NA
2019-12-12,17.75,10,NA,NA
2019-12-15,17.875,10,NA,NA
2019-12-19,17.8125,9.875,NA,NA
2019-12-30,17.8125,9.875,NA,NA
2020-01-11,17.5625,9.625,NA,NA
2020-01-13,17.625,9.5625,NA,NA
2020-01-19,17.9375,9.6875,NA,NA
2020-01-22,17.875,9.8125,NA,NA
2020-01-29,18,9.9375,NA,NA
2020-02-03,17.3125,9.3125,NA,NA
2020-02-06,17.375,9.625,NA,NA
2020-02-13,17.4375,9.9375,NA,NA
2020-02-18,17.25,9.25,NA,NA
2020-02-25,17.3125,9.75,NA,NA
2020-03-04,17.5,10.0625,NA,NA
2020-03-10,17.5,10,NA,NA
2020-03-13,17.5,9.9375,NA,NA
2020-03-20,17.625,10.1875,NA,NA
2020-03-24,17.5625,10.0625,NA,NA
2020-03-30,17.875,10.0625,NA,NA
2020-04-03,17.875,10.0625,NA,NA
2020-04-06,17.8125,10.3125,NA,NA
2020-04-10,17.8125,10.1875,NA,NA
2020-04-17,17.9375,10.5,NA,NA
2020-04-20,17.9375,10.5625,NA,NA
2020-04-26,18.125,10.375,NA,NA
2020-05-02,18.3125,10.375,NA,NA
2020-05-06,18.1875,10.4375,NA,NA
2020-05-12,18.375,10.375,NA,NA
2020-05-16,18.375,10.5,NA,NA
2020-05-20,18.4375,10.5625,NA,NA
2020-05-22,18.5625,10.8125,NA,NA
2020-05-23,18.3125,10.625,NA,NA
2020-05-30,18.3125,10.5,NA,NA
2020-06-04,18.3125,10.25,NA,NA
2020-06-09,18.4375,10.5,NA,20.975
2020-06-10,18.1875,10.375,NA,NA
2020-06-13,18.125,10.5625,NA,NA
2020-06-16,18.4375,10.4375,NA,NA
2020-06-18,18.5,10.4375,NA,NA
2020-06-21,18.1875,10.4375,NA,NA
2020-06-23,18.3125,10.5,NA,NA
2020-07-12,18.5625,10.5,NA,NA
2020-07-13,18.375,NA,NA,NA
2020-07-14,18.375,NA,NA,NA
2020-07-15,18.5,10.375,NA,NA
2020-07-17,18.3125,10.75,NA,NA
2020-07-18,18.5625,NA,NA,NA
2020-07-20,18.625,10.4375,NA,NA
2020-07-23,18.625,NA,NA,NA
2020-07-24,18.5,10.5625,NA,NA
2020-07-27,18.5625,10.5,NA,NA
2020-07-29,18.375,10.5,NA,NA
2020-07-31,18.4375,10.4375,NA,NA
2020-08-02,18.5625,10.625,NA,20.975
2020-08-03,18.4375,10.5,NA,NA
2020-08-04,18.5625,10.4375,NA,NA
2020-08-06,18.5,10.5625,NA,NA
2020-08-07,18.3125,10.375,NA,NA
2020-09-01,18.5625,9.375,NA,NA
2020-09-07,18.1875,9.9375,NA,NA
2020-09-09,18,10.125,NA,NA
2020-09-14,18.0625,9.5,NA,NA
2020-09-15,17.875,10.1875,NA,NA
2020-09-16,17.9375,10.125,NA,NA
2020-09-18,17.9375,10.125,NA,NA
2020-09-19,18,10.1875,NA,NA
2020-09-21,18.25,10,NA,NA
2020-09-24,17.8125,10.25,NA,NA
2020-09-29,17.9375,10.25,NA,NA
2020-10-01,17.75,NA,NA,NA
2020-10-03,17.875,NA,NA,NA
2020-10-06,17.75,NA,NA,NA
2020-10-09,17.75,NA,NA,NA
2020-10-13,18,NA,NA,NA
2020-10-16,17.625,NA,NA,NA
2020-10-20,17.625,NA,NA,NA
2020-10-24,17.6875,NA,NA,20.975
2020-10-26,17.5625,NA,NA,NA
2020-10-29,17.5,NA,NA,NA
2020-11-02,17.5,NA,NA,NA
2020-11-03,17.375,NA,NA,NA
2020-11-06,17,NA,NA,NA
2020-11-10,16.875,NA,NA,20.975
2020-11-16,16.875,10.25,NA,NA
2020-11-18,16.9375,9.9375,NA,NA
2020-11-20,16.875,10,NA,NA
2020-11-24,16.6875,10.1875,NA,NA
2020-11-29,16.625,9.875,NA,NA
2020-12-01,16.6875,10,NA,NA
2020-12-03,16.75,9.8125,NA,NA
2020-12-05,16.4375,9.9375,NA,20.975
2020-12-08,16.5625,10,NA,NA
2020-12-11,NA,10.0625,NA,NA
2020-12-12,16.5625,9.8125,NA,NA
2020-12-16,16.5,10.125,NA,NA
2020-12-19,16.5,10,NA,NA
2021-01-20,17.375,9.6875,NA,NA
2021-01-22,17.4375,9.8125,NA,NA
2021-01-23,17.3125,10.0625,NA,NA
2021-01-24,NA,NA,NA,NA
2021-01-26,17.0625,9.25,NA,NA
2021-01-28,17.25,9.1875,NA,NA
2021-01-31,17.25,9.1875,NA,NA
2021-02-02,16.75,8.6875,NA,20.9625
2021-02-04,16.6875,8.8125,NA,NA
2021-02-07,16.9375,9.375,NA,NA
2021-02-09,16.75,9.375,NA,NA
2021-02-11,16.6875,9.375,NA,NA
2021-02-13,16.75,9.5,NA,NA
2021-02-14,16.8125,9.5625,NA,NA
2021-02-18,16.5625,9.5,NA,NA
2021-02-20,16.875,9.375,NA,NA
2021-02-25,16.875,9.4375,NA,NA
2021-03-18,17.375,9.5,NA,NA
2021-03-20,17.4375,9.25,NA,NA
2021-03-22,17.375,9.5,NA,NA
2021-03-26,17.0625,9.4375,NA,NA
2021-03-27,16.875,9.4375,NA,NA
2021-03-30,16.9375,9.3125,NA,NA
2021-04-05,16.875,9.5625,NA,NA
2021-04-07,16.75,9.4375,NA,NA
2021-04-09,16.9375,9.625,NA,NA
2021-04-12,17.3125,9.5625,NA,NA
2021-04-14,16.9375,9.4375,NA,NA
2021-04-16,16.9375,9.375,NA,NA
2021-04-17,16.75,9,NA,NA
2021-04-21,16.6875,9.25,NA,NA
2021-04-27,16.75,9.125,NA,NA
2021-04-29,16.75,9,NA,NA
2021-05-04,16.75,8.8125,NA,NA
2021-05-07,16.9375,9,NA,NA
2021-05-12,16.8125,8.9375,NA,NA
2021-05-15,17.25,9.1875,NA,NA
2021-05-17,17.0625,9,NA,NA
2021-05-18,16.9375,9.125,NA,NA
2021-05-20,16.8125,9.25,NA,NA
2021-05-21,16.8125,8.875,NA,NA
2021-05-24,16.9375,9.375,NA,NA
2021-05-25,16.875,9.1875,NA,NA
2021-05-27,16.75,9.25,NA,NA
2021-05-31,16.875,9.125,NA,NA
2021-06-02,17.125,9.3125,NA,NA
2021-06-04,17.5625,9.4375,NA,21.0375
2021-06-06,17,9.5625,NA,NA
2021-06-07,16.9375,9.3125,NA,NA
2021-06-09,17.125,9.4375,NA,NA
2021-06-12,17.125,9.25,NA,NA
2021-06-14,16.9375,9.625,NA,NA
2021-06-16,16.9375,9.5,NA,NA
2021-06-19,17.1875,9.625,NA,NA
2021-06-21,17.0625,9.5625,NA,NA
2021-06-23,17.125,9.5625,NA,NA
2021-06-24,17.0625,9.5625,NA,NA
2021-06-26,17.125,9.6875,NA,NA
2021-07-22,17.5,9.5,NA,NA
2021-07-28,17.1875,9.625,NA,NA
2021-07-30,17.25,9.5,NA,NA
2021-08-04,17.1875,9.375,NA,NA
2021-08-08,17.0625,9.4375,NA,NA
2021-08-13,17.0625,9.375,NA,NA
2021-08-18,16.9375,9.5,NA,NA
2021-08-19,16.75,9.4375,NA,NA
2021-08-31,17.9375,9.4375,NA,NA
2021-09-03,17.5,9.25,NA,NA
2021-09-06,17.6875,9.375,NA,NA
2021-09-10,17.4375,9.25,NA,NA
2021-09-30,17.4375,8.875,NA,NA
2021-10-01,17.3125,9.0625,NA,NA
2021-10-08,17.125,8.8125,NA,NA
2021-10-11,17.3125,8.8125,NA,NA
2021-10-18,17.1875,8.4375,NA,NA
2021-10-21,17.125,8.5,NA,NA
2021-10-28,17.25,8.5,NA,NA
2021-11-01,17.375,8.375,NA,NA
2021-11-07,17,8.375,NA,NA
2021-11-12,16.8125,8.5,NA,NA
2021-11-16,17.125,8.25,NA,NA
2021-11-21,16.8125,8.25,NA,NA
2021-11-24,16.75,8.125,NA,NA
2021-12-01,16.625,8.125,NA,NA
2021-12-03,16.5,8.125,NA,NA
2021-12-10,16.875,8.1875,NA,NA
2021-12-13,16.5,8.25,NA,NA
2021-12-17,16.5625,7.875,NA,NA
2022-01-17,17.5,7.6875,NA,NA
2022-01-19,17.375,7.75,NA,NA
2022-01-21,17.8125,7.9375,NA,NA
2022-01-24,17.625,7.75,NA,NA
2022-01-26,17.625,8,NA,NA
2022-01-29,17.5625,7.75,NA,NA
2022-01-31,17.5,7.75,NA,NA
2022-02-03,17.0625,7.6875,NA,NA
2022-02-05,17.1875,7.75,NA,NA
2022-02-09,17.4375,8,NA,NA
2022-02-11,17.3125,8.0625,NA,NA
2022-02-21,17.8125,7.5,NA,NA
2022-02-23,17.8125,7.75,NA,NA
2022-02-26,17.5,7.875,NA,NA
2022-03-08,18.1875,7.625,NA,NA
2022-03-10,17.8125,7.75,NA,NA
2022-03-15,17.5,7.6875,NA,NA
2022-03-16,17.3125,7.75,NA,NA
2022-03-18,17.3125,7.625,NA,NA
2022-03-21,17.375,7.6875,NA,NA
2022-04-02,17.9375,7.9375,NA,NA
2022-04-04,17.6875,7.8125,NA,NA
2022-04-06,17.6875,7.75,NA,NA
2022-04-08,17.6875,7.375,NA,NA
2022-04-11,17.3125,7.5,NA,NA
2022-04-13,17.4375,8.0625,NA,NA
2022-04-16,17.3125,7.8125,NA,NA
2022-04-25,17.625,8.5,NA,20.009625
2022-04-27,17.5,8.0625,NA,NA
2022-04-29,17.6875,7.875,NA,NA
2022-05-04,17.25,7.625,NA,NA
2022-05-06,17.4375,7.5625,NA,NA
